starter_rank,starter_bucket,game_jam_role,name,creator_or_platform,asset_type,url,license_family,license_signal,commercial_use,attribution_required,download_requires_signup,evidence_level,evidence_url,last_checked,risk_notes,best_for,public_claim
16,Fonts,Add a readable title/UI font without attribution friction.,Public Pixel Font CC0,GGBotNet,font,https://ggbot.itch.io/public-pixel-font,CC0/public-domain signal,Title/listing says CC0,yes,no,no,page_level_signal,https://ggbot.itch.io/public-pixel-font,2026-05-27,High utility source,Pixel fonts,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
17,Space,"Prototype a shooter, map screen, or space backdrop.",Simple Space,Kenney,2D space assets,https://kenney.nl/assets/simple-space,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/simple-space,2026-05-27,Small pack; good starter asset,Space prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
18,Textures,"Fill placeholders, backgrounds, materials, or particles.",Y2K Texture Pack,GGBotNet,textures,https://ggbot.itch.io/y2k-texture-pack,CC0/public-domain signal,Listing says CC0,yes,no,no,page_level_signal,https://ggbot.itch.io/y2k-texture-pack,2026-05-27,Niche texture style,Retro/Y2K textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
19,Top-down,Fill a common game-jam prototype slot.,Micro Roguelike,Kenney,8x8 roguelike tiles,https://kenney.nl/assets/micro-roguelike,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/micro-roguelike,2026-05-27,Tiny style may not fit all games,Micro roguelikes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
20,Top-down,"Build a top-down town, RPG, or exploration scene.",RPG Base,Kenney,2D RPG tiles,https://kenney.nl/assets/rpg-base,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/rpg-base,2026-05-27,Good foundation but generic,RPG prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
21,Top-down,Fill a common game-jam prototype slot.,Roguelike Modern City,Kenney,2D city roguelike tiles,https://kenney.nl/assets/roguelike-modern-city,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/roguelike-modern-city,2026-05-27,Large file count; useful for urban prototypes,Urban roguelikes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
22,Top-down,"Build a top-down town, RPG, or exploration scene.",Tiny Town,Kenney,16x16 town tiles,https://kenney.nl/assets/tiny-town,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/tiny-town,2026-05-27,Useful but common style,Pixel RPG towns,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
23,UI,Show keyboard/controller prompts during tutorials.,Input Prompts,Kenney,2D input prompt icons,https://kenney.nl/assets/input-prompts,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/input-prompts,2026-05-27,Page-level CC0 signal found,Controller/UI prompts,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
24,UI,Fill a common game-jam prototype slot.,Sci-Fi RTS,Kenney,2D RTS sci-fi tiles/buildings,https://kenney.nl/assets/sci-fi-rts,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/sci-fi-rts,2026-05-27,Good genre-specific pack,RTS prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
25,3D,"Fill placeholders, backgrounds, materials, or particles.",Photorealistic Texture Pack 1,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/photorealistic-texture-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/photorealistic-texture-pack,2026-05-27,Check style quality per project,3D/2D textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
26,3D,"Fill placeholders, backgrounds, materials, or particles.",Photorealistic Texture Pack 2,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/photorealistic-texture-pack-2,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/photorealistic-texture-pack-2,2026-05-27,Check style quality per project,3D/2D textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
27,Space,"Prototype a shooter, map screen, or space backdrop.",2D Planet Pack 1,Screaming Brain Studios,2D planet sprites,https://screamingbrainstudios.itch.io/planetpack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/planetpack,2026-05-27,Good genre-specific row,Space prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
28,Space,"Prototype a shooter, map screen, or space backdrop.",2D Planet Pack 2,Screaming Brain Studios,2D planet sprites,https://screamingbrainstudios.itch.io/2d-planet-pack-2,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/2d-planet-pack-2,2026-05-27,Good genre-specific row,Space prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
29,Textures,"Fill placeholders, backgrounds, materials, or particles.",Abstract Noise Pack,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/abstract-noise-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/abstract-noise-pack,2026-05-27,Utility texture pack,Materials/shaders,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
30,Textures,"Fill placeholders, backgrounds, materials, or particles.",Noise Texture Pack,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/noise-texture-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/noise-texture-pack,2026-05-27,Utility texture pack,Shaders/materials,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
31,Textures,"Fill placeholders, backgrounds, materials, or particles.",Seamless Sky Backgrounds,Screaming Brain Studios,sky backgrounds,https://screamingbrainstudios.itch.io/seamless-sky-backgrounds,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/seamless-sky-backgrounds,2026-05-27,Useful for side-scrollers,Backgrounds,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
32,Textures,"Prototype a shooter, map screen, or space backdrop.",Seamless Space Backgrounds,Screaming Brain Studios,space backgrounds,https://screamingbrainstudios.itch.io/seamless-space-backgrounds,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/seamless-space-backgrounds,2026-05-27,Good niche row,Space games,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
33,Textures,"Fill placeholders, backgrounds, materials, or particles.",Tiny Texture Pack 1,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/tiny-texture-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/tiny-texture-pack,2026-05-27,Low-res style; not universal,Retro textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
34,Textures,"Fill placeholders, backgrounds, materials, or particles.",Tiny Texture Pack 2,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/tiny-texture-pack-2,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/tiny-texture-pack-2,2026-05-27,Low-res style; not universal,Retro textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
35,Textures,"Fill placeholders, backgrounds, materials, or particles.",Tiny Texture Pack 3,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/tiny-texture-pack-3,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/tiny-texture-pack-3,2026-05-27,Low-res style; not universal,Retro textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
36,Top-down,"Build a top-down town, RPG, or exploration scene.",Isometric Object Pack,Screaming Brain Studios,isometric object tiles,https://screamingbrainstudios.itch.io/isometric-object-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/isometric-object-pack,2026-05-27,Good for composed scene kits,Isometric props,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
37,Top-down,"Build a top-down town, RPG, or exploration scene.",Isometric Tiles Floor Pack,Screaming Brain Studios,isometric floor tiles,https://screamingbrainstudios.itch.io/isotilepack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/isotilepack,2026-05-27,Good companion source,Isometric maps,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
38,Top-down,"Build a top-down town, RPG, or exploration scene.",Isometric Town Pack,Screaming Brain Studios,isometric town tiles,https://screamingbrainstudios.itch.io/iso-town-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/iso-town-pack,2026-05-27,Good for map-layout product ideas,Isometric towns,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
39,UI,"Create menus, settings panels, or quick HUD controls.",Button Pack,Screaming Brain Studios,UI buttons,https://screamingbrainstudios.itch.io/button-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/button-pack,2026-05-27,Good for UI category,Game UI,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
40,UI,"Fill placeholders, backgrounds, materials, or particles.",Circular Texture Pack,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/circular-texture-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/circular-texture-pack,2026-05-27,Niche but useful,UI/material textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
41,UI,"Fill placeholders, backgrounds, materials, or particles.",Gradient Texture Pack,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/gradient-texture-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/gradient-texture-pack,2026-05-27,Utility texture pack,Materials/UI,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
42,UI,"Create menus, settings panels, or quick HUD controls.",Tiny Buttons Pack,Screaming Brain Studios,UI buttons,https://screamingbrainstudios.itch.io/tiny-buttons-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/tiny-buttons-pack,2026-05-27,Good for UI category,Pixel UI,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
