id,row_type,name,creator_or_platform,url,evidence_url,font_type,category,license_signal,commercial_use,attribution_required,redistribution_note,download_requires_signup,audit_status,risk_notes,best_for,last_checked,engine_note_unity,engine_note_godot,engine_note_unreal,license_file_required,reserved_font_name_risk,logo_use_warning,glyph_coverage_note,recommended_for,avoid_for
F011,font_source,Noto Sans,Google Fonts / Noto Project,https://fonts.google.com/specimen/Noto+Sans,https://raw.githubusercontent.com/google/fonts/main/ofl/notosans/OFL.txt,multilingual sans font,multilingual/fallback,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Good baseline for multilingual fallback; choose exact Noto family for target script.,multilingual UI fallback,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,multilingual UI fallback,stylized title-only use
F012,font_source,Press Start 2P,Google Fonts / Press Start 2P Project,https://fonts.google.com/specimen/Press+Start+2P,https://raw.githubusercontent.com/google/fonts/main/ofl/pressstart2p/OFL.txt,pixel display font,pixel/retro,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Iconic pixel style but poor for long paragraphs.,retro title screens,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,retro title screens,long dialogue/body copy
F013,font_source,Silkscreen,Google Fonts / Silkscreen Project,https://fonts.google.com/specimen/Silkscreen,https://raw.githubusercontent.com/google/fonts/main/ofl/silkscreen/OFL.txt,pixel display font,pixel/retro,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Compact pixel UI candidate; test at small sizes.,pixel HUD labels,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,pixel HUD labels,long readable paragraphs
F014,font_source,VT323,Google Fonts / VT323 Project,https://fonts.google.com/specimen/VT323,https://raw.githubusercontent.com/google/fonts/main/ofl/vt323/OFL.txt,terminal display font,terminal/monospace,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Strong terminal/CRT flavor; not suitable for all UI text.,"terminal, hacking, retro UI",2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,"terminal, hacking, retro UI",general menu body text
F015,font_source,Inconsolata,Google Fonts / Inconsolata Project,https://fonts.google.com/specimen/Inconsolata,https://raw.githubusercontent.com/google/fonts/main/ofl/inconsolata/OFL.txt,monospace font,terminal/monospace,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Good for debug UI and code-like text; less expressive for fantasy themes.,"debug UI, terminal text",2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,"debug UI, terminal text",fantasy/dialogue immersion
F016,font_source,Fira Code,Google Fonts / Fira Code Project,https://fonts.google.com/specimen/Fira+Code,https://raw.githubusercontent.com/google/fonts/main/ofl/firacode/OFL.txt,monospace coding font,terminal/monospace,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Useful for dev tools and in-game terminals; ligatures may be unnecessary in games.,"terminal UI, dev tools",2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,"terminal UI, dev tools",non-code dialogue
F017,font_source,Rubik,Google Fonts / Rubik Project,https://fonts.google.com/specimen/Rubik,https://raw.githubusercontent.com/google/fonts/main/ofl/rubik/OFL.txt,rounded sans font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Friendly UI tone; check weights for target platform.,casual game menus,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,casual game menus,serious simulation tone
F018,font_source,Bangers,Google Fonts / Bangers Project,https://fonts.google.com/specimen/Bangers,https://raw.githubusercontent.com/google/fonts/main/ofl/bangers/OFL.txt,comic display font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,High-energy display face; use sparingly and test readability.,"arcade titles, comic UI",2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,"arcade titles, comic UI",body text and localization-heavy UI
F019,font_source,Creepster,Google Fonts / Font Diner,https://fonts.google.com/specimen/Creepster,https://raw.githubusercontent.com/google/fonts/main/ofl/creepster/OFL.txt,horror display font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Strong horror flavor; reserved-name wording should be kept in mind if modifying.,horror title screens,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,yes - review OFL Reserved Font Name wording before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,horror title screens,general UI labels
F020,font_source,Fredoka,Google Fonts / Fredoka Project,https://fonts.google.com/specimen/Fredoka,https://raw.githubusercontent.com/google/fonts/main/ofl/fredoka/OFL.txt,rounded sans font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Friendly rounded UI option; good for casual games.,casual UI and menus,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,casual UI and menus,gritty/serious atmosphere
F021,font_source,Audiowide,Google Fonts / Astigmatic,https://fonts.google.com/specimen/Audiowide,https://raw.githubusercontent.com/google/fonts/main/ofl/audiowide/OFL.txt,wide techno display font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Wide sci-fi display style; poor fit for dense text.,sci-fi titles,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,sci-fi titles,small HUD labels
F022,font_source,Orbitron,Google Fonts / Orbitron Project,https://fonts.google.com/specimen/Orbitron,https://raw.githubusercontent.com/google/fonts/main/ofl/orbitron/OFL.txt,sci-fi display font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Useful sci-fi display family; test readability for numbers.,sci-fi HUD and titles,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,sci-fi HUD and titles,large paragraphs
F023,font_source,Rajdhani,Google Fonts / Indian Type Foundry,https://fonts.google.com/specimen/Rajdhani,https://raw.githubusercontent.com/google/fonts/main/ofl/rajdhani/OFL.txt,condensed sans font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,"Condensed UI option; useful when space is tight, but test legibility.",HUD labels and menus,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,HUD labels and menus,long text at very small sizes
F024,font_source,Exo 2,Google Fonts / Exo 2 Project,https://fonts.google.com/specimen/Exo+2,https://raw.githubusercontent.com/google/fonts/main/ofl/exo2/OFL.txt,tech sans font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Tech-flavored readable UI option.,sci-fi UI and menus,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,sci-fi UI and menus,historical/fantasy UI
F025,font_source,Josefin Sans,Google Fonts / Josefin Sans Project,https://fonts.google.com/specimen/Josefin+Sans,https://raw.githubusercontent.com/google/fonts/main/ofl/josefinsans/OFL.txt,geometric sans font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Elegant display/body hybrid; thin weights need testing.,menus and title cards,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,menus and title cards,tiny HUD text
F026,font_source,Nunito,Google Fonts / Nunito Project,https://fonts.google.com/specimen/Nunito,https://raw.githubusercontent.com/google/fonts/main/ofl/nunito/OFL.txt,rounded sans font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Soft readable UI choice; good for friendly apps/games.,casual menus and dialogue UI,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,casual menus and dialogue UI,serious horror/simulation UI
F027,font_source,Oswald,Google Fonts / Oswald Project,https://fonts.google.com/specimen/Oswald,https://raw.githubusercontent.com/google/fonts/main/ofl/oswald/OFL.txt,condensed sans font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Useful for compact titles and labels; avoid overusing in body text.,headers and compact labels,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,headers and compact labels,long paragraphs
F028,font_source,Roboto Mono,Google Fonts / Roboto Mono Project,https://fonts.google.com/specimen/Roboto+Mono,https://raw.githubusercontent.com/google/fonts/main/ofl/robotomono/OFL.txt,monospace font,terminal/monospace,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,"Strong baseline for terminals, debug overlays, and code-like UI.",terminal and debug UI,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,terminal and debug UI,warm narrative dialogue
F029,font_source,Roboto,Google Fonts / Roboto Project,https://fonts.google.com/specimen/Roboto,https://raw.githubusercontent.com/google/fonts/main/ofl/roboto/OFL.txt,sans UI font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,General UI baseline; common but practical.,mobile-like game UI,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,mobile-like game UI,distinctive brand/title needs
F030,font_source,Playfair Display,Google Fonts / Playfair Display Project,https://fonts.google.com/specimen/Playfair+Display,https://raw.githubusercontent.com/google/fonts/main/ofl/playfairdisplay/OFL.txt,serif display font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Good for elegant titles; not ideal for small HUD text.,"visual novel titles, lore headers",2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,"visual novel titles, lore headers",small UI labels
F031,font_source,Cinzel,Google Fonts / Cinzel Project,https://fonts.google.com/specimen/Cinzel,https://raw.githubusercontent.com/google/fonts/main/ofl/cinzel/OFL.txt,classical display font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Useful for fantasy/classical titles; check readability for long text.,fantasy titles,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,fantasy titles,body copy
F032,font_source,Cinzel Decorative,Google Fonts / Natanael Gama,https://fonts.google.com/specimen/Cinzel+Decorative,https://raw.githubusercontent.com/google/fonts/main/ofl/cinzeldecorative/OFL.txt,decorative display font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Highly decorative; use for logo-like headings only and review brand use separately.,ornamental title cards,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,ornamental title cards,UI labels and paragraphs
F033,font_source,Unbounded,Google Fonts / Unbounded Project,https://fonts.google.com/specimen/Unbounded,https://raw.githubusercontent.com/google/fonts/main/ofl/unbounded/OFL.txt,display sans font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Distinctive display family; can feel heavy in compact UI.,"posters, splash screens",2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,"posters, splash screens",dense UI
F034,font_source,Teko,Google Fonts / Teko Project,https://fonts.google.com/specimen/Teko,https://raw.githubusercontent.com/google/fonts/main/ofl/teko/OFL.txt,condensed display font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Good for bold compact titles; check number readability.,HUD headings and scores,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,HUD headings and scores,body text
