id,row_type,name,creator_or_platform,url,asset_type,license_signal,commercial_use,attribution_required,redistribution_note,download_requires_signup,audit_status,risk_notes,best_for
11,asset_page,Pixel Platformer,Kenney,https://kenney.nl/assets/pixel-platformer,2D pixel platformer,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Useful for jams,Pixel platformers
12,asset_page,Platformer Art Extended Enemies,Kenney,https://kenney.nl/assets/platformer-art-extended-enemies,2D platformer enemies,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Supplement to platformer packs,Enemy placeholders
13,asset_page,Input Prompts,Kenney,https://kenney.nl/assets/input-prompts,2D input prompt icons,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Page-level CC0 signal found,Controller/UI prompts
14,asset_page,Factory Kit,Kenney,https://kenney.nl/assets/factory-kit,3D factory kit,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Page-level CC0 signal found,3D industrial scenes
15,asset_page,Light Masks,Kenney,https://kenney.nl/assets/light-masks,2D VFX/light masks,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Page-level CC0 signal found,Lighting/VFX
16,asset_page,Car Kit,Kenney,https://kenney.nl/assets/car-kit,3D cars,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Page-level CC0 signal found,Vehicle prototypes
17,asset_page,Platformer Kit,Kenney,https://kenney.nl/assets/platformer-kit,3D platformer kit,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Page-level CC0 signal found,3D platformers
18,asset_page,Cube Pets,Kenney,https://kenney.nl/assets/cube-pets,3D cube animal/pet assets,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Page-level CC0 signal found,Cute prototypes
19,asset_page,Modular Dungeon Kit,Kenney,https://kenney.nl/assets/modular-dungeon-kit,3D modular dungeon,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Page-level CC0 signal found,Dungeon prototypes
20,asset_page,Pirate Kit,Kenney,https://kenney.nl/assets/pirate-kit,3D pirate assets,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Page-level CC0 signal found,Pirate prototypes
21,license_or_source_reference,Screaming Brain Studios Profile,Screaming Brain Studios,https://screamingbrainstudios.itch.io/,textures/tiles/backgrounds/tools,Profile states all assets released under Public Domain CC0,yes,no,CC0 permits reuse; prefer source links and avoid implying ownership,no,source_reference_only,Very strong CC0 source; old-school/procedural style,Textures and isometric assets
22,license_or_source_reference,Screaming Brain Official Site,Screaming Brain Studios,https://screamingbrainstudios.com/,source index/license reference,Official site states packs are CC0/public domain,yes,no,License/reference page only,no,source_reference_only,Use as license evidence for Screaming Brain rows,License evidence
23,asset_page,Tiny Texture Pack 1,Screaming Brain Studios,https://screamingbrainstudios.itch.io/tiny-texture-pack,textures,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Low-res style; not universal,Retro textures
24,asset_page,Tiny Texture Pack 2,Screaming Brain Studios,https://screamingbrainstudios.itch.io/tiny-texture-pack-2,textures,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Low-res style; not universal,Retro textures
25,asset_page,Tiny Texture Pack 3,Screaming Brain Studios,https://screamingbrainstudios.itch.io/tiny-texture-pack-3,textures,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Low-res style; not universal,Retro textures
26,asset_page,Seamless Space Backgrounds,Screaming Brain Studios,https://screamingbrainstudios.itch.io/seamless-space-backgrounds,space backgrounds,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Good niche row,Space games
27,asset_page,Seamless Sky Backgrounds,Screaming Brain Studios,https://screamingbrainstudios.itch.io/seamless-sky-backgrounds,sky backgrounds,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Useful for side-scrollers,Backgrounds
28,asset_page,Noise Texture Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/noise-texture-pack,textures,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Utility texture pack,Shaders/materials
29,asset_page,Photorealistic Texture Pack 1,Screaming Brain Studios,https://screamingbrainstudios.itch.io/photorealistic-texture-pack,textures,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Check style quality per project,3D/2D textures
30,asset_page,Photorealistic Texture Pack 2,Screaming Brain Studios,https://screamingbrainstudios.itch.io/photorealistic-texture-pack-2,textures,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Check style quality per project,3D/2D textures
31,asset_page,Isometric Town Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/iso-town-pack,isometric town tiles,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Good for map-layout product ideas,Isometric towns
32,asset_page,Isometric Tiles Floor Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/isotilepack,isometric floor tiles,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Good companion source,Isometric maps
33,asset_page,Isometric Object Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/isometric-object-pack,isometric object tiles,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Good for composed scene kits,Isometric props
34,asset_page,Circular Texture Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/circular-texture-pack,textures,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Niche but useful,UI/material textures
35,asset_page,2D Planet Pack 1,Screaming Brain Studios,https://screamingbrainstudios.itch.io/planetpack,2D planet sprites,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Good genre-specific row,Space prototypes
36,asset_page,2D Planet Pack 2,Screaming Brain Studios,https://screamingbrainstudios.itch.io/2d-planet-pack-2,2D planet sprites,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Good genre-specific row,Space prototypes
37,asset_page,Gradient Texture Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/gradient-texture-pack,textures,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Utility texture pack,Materials/UI
38,asset_page,Abstract Noise Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/abstract-noise-pack,textures,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Utility texture pack,Materials/shaders
39,asset_page,Button Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/button-pack,UI buttons,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Good for UI category,Game UI
40,asset_page,Tiny Buttons Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/tiny-buttons-pack,UI buttons,Creator profile CC0 policy,yes,no,CC0; link original source,no,verified_collection_policy,Good for UI category,Pixel UI
41,license_or_source_reference,GGBotNet Profile,GGBotNet,https://ggbot.itch.io/,fonts/game assets,Profile lists CC0 game assets and CC0 fonts,yes,varies by item; CC0 rows no,Do not assume every non-CC0 font row is CC0,no,source_reference_only,Use only rows explicitly marked CC0,Fonts and retro assets
42,asset_page,PSX Style Cars,GGBotNet,https://ggbot.itch.io/psx-style-cars,3D cars and SFX,Listing says CC0/free 3D car pack,yes,no,CC0; link original source,no,verified_page_signal,Good PSX/retro niche,Retro 3D vehicles
43,asset_page,Y2K Texture Pack,GGBotNet,https://ggbot.itch.io/y2k-texture-pack,textures,Listing says CC0,yes,no,CC0; link original source,no,verified_page_signal,Niche texture style,Retro/Y2K textures
44,asset_page,GGBotNet Fonts CC0 All-in-1,GGBotNet,https://ggbot.itch.io/ggbotnet-fonts-cc0,fonts,Creative Commons Zero v1.0 Universal,yes,no,CC0; link original source,no,verified_page_signal,High utility source,Game fonts
45,asset_page,Home Video Font CC0,GGBotNet,https://ggbot.itch.io/home-video-font,font,Title/listing says CC0,yes,no,CC0; link original source,no,verified_page_signal,Good for VHS/retro UI,Retro fonts
46,asset_page,Public Pixel Font CC0,GGBotNet,https://ggbot.itch.io/public-pixel-font,font,Title/listing says CC0,yes,no,CC0; link original source,no,verified_page_signal,High utility source,Pixel fonts
47,asset_page,First Time Writing Font CC0,GGBotNet,https://ggbot.itch.io/first-time-writing-font,font,Title/listing says CC0,yes,no,CC0; link original source,no,verified_page_signal,Good multilingual support,Handwritten fonts
48,discovery_pool,itch.io Free CC0 Game Assets Directory,itch.io,https://itch.io/game-assets/free/tag-cc0,directory,Directory filtered by free and cc0 tag,yes,depends on individual page,Do not trust directory tag alone; verify item page,no,discovery_pool_only,Good discovery source but requires page-level audit,Source discovery
49,discovery_pool,itch.io Top Rated Free CC0 Game Assets,itch.io,https://itch.io/game-assets/top-rated/free/tag-cc0,directory,Directory filtered by top-rated/free/cc0,yes,depends on individual page,Do not trust directory tag alone; verify item page,no,discovery_pool_only,Better quality discovery pool,Source discovery
50,discovery_pool,OpenGameArt,OpenGameArt,https://opengameart.org/,multi-category game assets,Per-asset license shown on each page; CC0/CC BY rows can be commercial-friendly,yes for CC0/CC BY,no for CC0; yes for CC BY,Do not include GPL/SA/unclear rows without separate notes,optional account for some actions,discovery_pool_only,Excellent pool but every row must be checked individually,Source discovery
