starter_bucket,game_jam_role,name,creator_or_platform,asset_type,url,license_family,license_signal,commercial_use,attribution_required,download_requires_signup,evidence_level,evidence_url,last_checked,risk_notes,best_for,public_claim
Top-down,Fill a common prototype slot.,Roguelike Modern City,Kenney,2D city roguelike tiles,https://kenney.nl/assets/roguelike-modern-city,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/roguelike-modern-city,2026-05-27,Large file count; useful for urban prototypes,Urban roguelikes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Top-down,"Build a top-down town, RPG, or exploration scene.",Tiny Town,Kenney,16x16 town tiles,https://kenney.nl/assets/tiny-town,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/tiny-town,2026-05-27,Useful but common style,Pixel RPG towns,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Top-down,"Build a top-down town, RPG, or exploration scene.",Isometric Object Pack,Screaming Brain Studios,isometric object tiles,https://screamingbrainstudios.itch.io/isometric-object-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/isometric-object-pack,2026-05-27,Good for composed scene kits,Isometric props,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Top-down,"Build a top-down town, RPG, or exploration scene.",Isometric Tiles Floor Pack,Screaming Brain Studios,isometric floor tiles,https://screamingbrainstudios.itch.io/isotilepack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/isotilepack,2026-05-27,Good companion source,Isometric maps,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Top-down,"Build a top-down town, RPG, or exploration scene.",Isometric Town Pack,Screaming Brain Studios,isometric town tiles,https://screamingbrainstudios.itch.io/iso-town-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/iso-town-pack,2026-05-27,Good for map-layout product ideas,Isometric towns,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
UI,"Build menus, HUD, or tutorial prompts.",Input Prompts,Kenney,2D input prompt icons,https://kenney.nl/assets/input-prompts,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/input-prompts,2026-05-27,Page-level CC0 signal found,Controller/UI prompts,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
UI,Fill a common prototype slot.,Sci-Fi RTS,Kenney,2D RTS sci-fi tiles/buildings,https://kenney.nl/assets/sci-fi-rts,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/sci-fi-rts,2026-05-27,Good genre-specific pack,RTS prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
UI,"Build menus, HUD, or tutorial prompts.",Button Pack,Screaming Brain Studios,UI buttons,https://screamingbrainstudios.itch.io/button-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/button-pack,2026-05-27,Good for UI category,Game UI,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
UI,"Fill backgrounds, materials, placeholders, or particles.",Circular Texture Pack,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/circular-texture-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/circular-texture-pack,2026-05-27,Niche but useful,UI/material textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
UI,"Fill backgrounds, materials, placeholders, or particles.",Gradient Texture Pack,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/gradient-texture-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/gradient-texture-pack,2026-05-27,Utility texture pack,Materials/UI,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
UI,"Build menus, HUD, or tutorial prompts.",Tiny Buttons Pack,Screaming Brain Studios,UI buttons,https://screamingbrainstudios.itch.io/tiny-buttons-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/tiny-buttons-pack,2026-05-27,Good for UI category,Pixel UI,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
