id,row_type,name,creator_or_platform,url,asset_type,license_family,license_signal,commercial_use,attribution_required,redistribution_risk,download_requires_signup,evidence_level,evidence_url,last_checked,risk_notes,best_for,public_claim
P11,asset_page,Isometric Pathways Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/isometric-pathways-pack,isometric pathway tiles,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Isometric maps,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P12,asset_page,Isometric Tiles & Crates Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/isometric-tiles-crates-pack,isometric tiles and crates,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Isometric props,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P13,asset_page,SBST Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/sbst-pack,tiles/textures,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Texture and tile prototyping,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P14,asset_page,Portrait Frame Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/portrait-frame-pack,UI frames,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Dialogue UI and portrait frames,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P15,asset_page,Simple Game Button,Screaming Brain Studios,https://screamingbrainstudios.itch.io/simple-game-button,UI button,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Game UI placeholders,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P16,asset_page,Photorealistic Texture Pack 3,Screaming Brain Studios,https://screamingbrainstudios.itch.io/photorealistic-texture-pack-3,textures,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,2D/3D material prototypes,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P17,asset_page,Base Material Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/base-material-pack,materials/textures,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Materials and shaders,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P18,asset_page,Abstract Texture Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/abstract-texture-pack,textures,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Abstract backgrounds/materials,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P19,asset_page,Horror Texture Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/horror-texture-pack,textures,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Horror prototypes,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P20,asset_page,Holiday Texture Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/holiday-texture-pack,textures,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Seasonal prototypes,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P21,asset_page,Synthetic Texture Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/synthetic-texture-pack,textures,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Sci-fi/synthetic materials,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P22,asset_page,Top-Down Dungeon Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/top-down-dungeon-pack,top-down dungeon tiles,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Top-down dungeon prototypes,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P23,asset_page,Animated Transitions Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/animated-transitions-pack,animated transitions,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Scene transitions and UI polish,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P24,asset_page,Tiny Top Down Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/tiny-top-down-pack,tiny top-down assets,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Small top-down prototypes,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P25,asset_page,Tiny Breakout Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/tinybreakoutpack,breakout assets,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Arcade prototypes,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
